abate     减少，减轻
erudite     博学的
bookish     书本上的，好学的
esoteric     秘传的，鲜为人知的
estimable     值得尊敬的，可估计的
eulogy     赞颂
euphemism     委婉
distasteful     使人不愉快的
exacerbate     使恶化
exculpate     开脱，使无罪
adversarial     对手的
convict     宣判有罪
exigent     急切的
exonerate     使免罪
fugitive     逃亡的，逃亡者
explicit     清晰的，不隐瞒的
forthright     直率的
fanatical     狂热的
devotion     奉献，热爱
fawn     奉承
grovel     匍匐，卑躬屈膝
understudy     预备演员，替角
fervid     热的，热心的
feverish     发热的
glimpse     一瞥
florid     气色好的，绚丽的
embellish     美化，润色
foment     激起，煽动
frugality     节约
gilded     镀金的
incite     煽动
demonstration     表明，证明
thrifty     节约的，茂盛的
garrulous     饶舌的，多嘴的
gregarious     爱交际的，合群的
parakeet     鹦鹉
guile     狡猾，背信
deceit     欺骗，谎言
trickery     欺骗，哄骗
gullible     易受骗的
iconoclast     攻击传统观念的人
imperturbable     冷静的
counselor     顾问，参事
distraught     忧心如焚的
tantrum     发脾气，发怒
impervious     不可渗透的，无动于衷的
impetuous     冲动的，鲁莽的
broker     中间人
implacable     无法平息
inchoate     早期的
ingenuous     天真无邪的
exploited     开发，开拓
inimical     敌意的，有害的
innocuous     无害的
pose     摆姿势，造成
insipid     枯燥的
intransigent     不妥协的
reconciled     和谐的，一致的
inundate     淹没，扑来
irascible     易怒的
laconic     简洁的
poet     诗人
sparingly     节俭地，爱惜地
lament     挽歌，悲叹
grieve     使悲伤
demise     死
laud     赞美
lavish     浪费的
parade     游行
staged     上演，阶段
rebel     反抗
extravagant     浪费的
lethargic     无精打采的
loquacious     多嘴的
lucid     表达清楚的
luminous     发光的
malinger     装病
draft     草图，征召，调遣
malleable     可锻造的
metaphor     隐喻
meticulous     极仔细的
misanthrope     厌恶人类的
mitigate     减轻，缓和
mollify     抚慰
monotony     单调
naive     幼稚的
faucet     插口，旋塞
obdurate     固执的，无情的
obsequious     奉承的
submissive     顺从的
compliment     赞美，表扬
obstinate     固执的，无情的
obviate     避免，消除
wade     走过，蹚水
occlude     使封闭，咬合
onerous     繁重，负担的
opaque     不透明的
opprobrium     耻辱
disgrace     耻辱
oppressive     暴虐的
grime     尘垢，污点
buildup     组合，集结
embezzle     盗用，贪污
treasurer     财务主管
utter     口述，完全的，彻底的
ostentation     炫耀
lavish     浪费的
paradox     悖论
dilemma     左右为难
paragon     模范
pedant     书呆子
pendent     吊着的
show-off     炫耀
perfidious     不诚实的，背信的
companion     同伴
intimate     亲密的
perfunctory     例行公事的
teller     出纳员，讲述者
permeate     弥漫
miraculous     奇迹般了
stains     污点
philanthropy     慈善，博爱
promote     提升，提拔
will     遗嘱，遗赠
estate     财产，身份
placate     安抚，平静
sooth     真实，温柔的，甜蜜的
pacify     使平静，使安定
burglar     盗贼
snarling     咆哮
plastic     塑料的，可塑的
plethora     过多
defendant     被告
prevaricate     搪塞，欺骗
pristine     原始的
looting     打劫，洗劫
concerted     协调的
proliferate     迅速繁殖
guinea     几内亚
propitiate     劝解，息怒
conciliate     安抚，平静
irate     生气的
propriety     正当
aristocracy     贵族
adhering     支持，粘着
prudence     审慎
pungent     辛辣的，尖刻的
quiescent     不活动的
rarefy     使稀薄，精炼
repudiate     拒绝，否定
reticent     沉默的
rhetoric     修辞的
satiate     充分满足
overindulge     过度放纵
soporific     催眠的
lethargy     昏睡，无精打采
specious     似是而非的
plausible     似乎是真的
stigma     污名，耻辱
stolid     不动感情的
sublime     令人崇敬的，庄严的
lofty     崇高的，高傲的
grand     宏伟的，豪华的
tacit     缄默的，不言而喻
taciturn     沉默寡言的
tirade     激烈的长篇演说
torpor     不活泼，迟缓
transitory     不持续的
anesthesia     麻醉
vacillate     摇摆，踌蹰
sway     动摇，影响
indecisive     犹豫不决
venerate     尊敬，崇拜
confucian     儒家
defer     拖延，服从
veracity     真实，诚实
verbose     啰嗦的
vex     使生气
volatile     挥发的，反复无常的
waver     摇曳，踌蹰
whimsical     异想天开的，反复无常的
zeal     热心
fanciful     想象的，稀奇的
ballet     芭蕾舞
capitol     国会大厦
legislative     立法的
principal     最重要的，校长
stationery     文具，信纸
tablet     药片，牌匾
unyielding     坚硬，不屈的
